*Код	Назва
03.17	Для розміщення та експлуатації закладів з обслуговування відвідувачів об’єктів рекреаційного призначення
03.18	Для розміщення та експлуатації установ/місць виконання покарань
03.19	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
03.20	Земельні ділянки загального користування, які використовуються як внутрішньоквартальні  проїзди, пішохідні зони

/300/	КАТЕГОРІЯ - ЗЕМЛІ ПРИРОДНО-ЗАПОВІДНОГО ФОНДУ ТА ІНШОГО ПРИРОДООХОРОННОГО ПРИЗНАЧЕННЯ
04	Земельні ділянки природно-заповідного фонду (природні території та об’єкти (природні заповідники, національні природні парки, біосферні заповідники, регіональні ландшафтні парки, заказники, пам’ятки природи, заповідні урочища), а також штучно створені об’єкти (ботанічні сади, дендрологічні парки, зоологічні парки, парки-пам’ятки садово-паркового мистецтва), що надаються в постійне користування спеціальним адміністраціям територій та об’єктів природно-заповідного фонду (крім земельних ділянок під об’єктами природно-заповідного фонду, що включені до їх складу без вилучення)
04.01	Для збереження та використання біосферних заповідників
04.02	Для збереження та використання природних заповідників
04.03	Для збереження та використання національних природних парків
04.04	Для збереження та використання ботанічних садів
04.05	Для збереження та використання зоологічних парків
04.06	Для збереження та використання дендрологічних парків
04.07	Для збереження та використання парків-пам’яток садово-паркового мистецтва
04.08	Для збереження та використання заказників
04.09	Для збереження та використання заповідних урочищ
04.10	Для збереження та використання пам’яток природи
04.11	Для збереження та використання регіональних ландшафтних парків
05	Земельні ділянки іншого природоохоронного призначення 
05.01	Земельні ділянки іншого природоохоронного призначення (земельні ділянки, в межах яких є природні об’єкти, що мають особливу наукову цінність, та які надаються для збереження і використання цих об’єктів, проведення наукових досліджень, освітньої та виховної роботи)
05.02	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)

/400/	КАТЕГОРІЯ - ЗЕМЛІ ОЗДОРОВЧОГО ПРИЗНАЧЕННЯ
06	Земельні ділянки оздоровчого призначення (земельні ділянки, що мають природні лікувальні властивості, які використовуються або можуть використовуватися для профілактики захворювань і лікування людей)
06.01	Для будівництва і обслуговування санаторно-оздоровчих закладів
06.02	Для розробки родовищ природних лікувальних ресурсів
06.03	Для інших оздоровчих цілей
06.04	Для цілей підрозділів 06.01—06.03, 06.05 та для збереження та використання земель природно-заповідного фонду
06.05	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)

/500/	КАТЕГОРІЯ - ЗЕМЛІ РЕКРЕАЦІЙНОГО ПРИЗНАЧЕННЯ
07	Земельні ділянки рекреаційного призначення (земельні ділянки зелених зон і зелених насаджень міст та інших населених пунктів, навчально-туристських та екологічних стежок, маркованих трас, земельні ділянки, зайняті територіями будинків відпочинку, пансіонатів, об’єктів фізичної культури і спорту, туристичних баз, кемпінгів, яхт-клубів, стаціонарних і наметових туристично-оздоровчих таборів, будинків рибалок і мисливців, дитячих туристичних станцій, дитячих та спортивних таборів, інших аналогічних об’єктів, а також земельні ділянки, надані для дачного будівництва і спорудження інших об’єктів стаціонарної рекреації)
07.01	Для будівництва та обслуговування об’єктів рекреаційного призначення
07.02	Для будівництва та обслуговування об’єктів фізичної культури і спорту
07.03	Для індивідуального дачного будівництва
07.04	Для колективного дачного будівництва
07.05	Для цілей підрозділів 07.01—07.04, 07.06—07.09 та для збереження та використання земель природно-заповідного фонду
07.06	Для збереження, використання та відтворення зелених зон і зелених насаджень
07.07	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
07.08	Земельні ділянки загального користування, які використовуються як зелені насадження загального користування
07.09	Земельні ділянки загального користування відведені під місця поховання

/600/	КАТЕГОРІЯ - ЗЕМЛІ ІСТОРИКО-КУЛЬТУРНОГО ПРИЗНАЧЕННЯ
08	Земельні ділянки історико-культурного призначення (земельні ділянки, на яких розташовані: пам’ятки культурної спадщини, їх комплекси (ансамблі), історико-культурні заповідники, історико-культурні заповідні території, охоронювані археологічні території, музеї просто неба, меморіальні музеї-садиби)
08.01	Для забезпечення охорони об’єктів культурної спадщини
08.02	Для розміщення та обслуговування музейних закладів
08.03	Для іншого історико-культурного призначення
08.04	Для цілей підрозділів 08.01—08.03, 08.05 та для збереження та використання земель природно-заповідного фонду
08.05	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
/700/	КАТЕГОРІЯ - ЗЕМЛІ ЛІСОГОСПОДАРСЬКОГО ПРИЗНАЧЕННЯ
09	Земельні ділянки лісогосподарського призначення (земельні ділянки, вкриті лісовою рослинністю, а також не вкриті лісовою рослинністю, нелісові земельні ділянки, які надані та використовуються для потреб лісового господарства, крім земельних ділянок, зайнятих зеленими насадженнями у межах населених пунктів, які не віднесені до категорії лісів, а також земельних ділянок, зайнятих окремими деревами і групами дерев, чагарниками на сільськогосподарських угіддях, присадибних, дачних і садових ділянках)
09.01	Для ведення лісового господарства і пов’язаних з ним послуг
09.02	Для іншого лісогосподарського призначення
09.03	Для цілей підрозділів 09.01—09.02, 09.04—09.05 та для збереження та використання земель природно-заповідного фонду
09.04	Для розміщення господарських дворів лісогосподарських підприємств, установ, організацій та будівель лісомисливського господарства 
09.05	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
/800/	КАТЕГОРІЯ - ЗЕМЛІ ВОДНОГО ФОНДУ
10	Земельні ділянки водного фонду (земельні ділянки, зайняті морями, річками, озерами, водосховищами, іншими водними об’єктами, болотами, а також островами, не зайнятими лісами; прибережними захисними смугами вздовж морів, річок та навколо водойм, крім земель, зайнятих лісами; гідротехнічними, іншими водогосподарськими спорудами та каналами, а також земельні ділянки, виділені під смуги відведення для них; береговими смугами водних шляхів)
10.01	Для експлуатації та догляду за водними об’єктами
10.02	Для облаштування та догляду за прибережними захисними смугами
10.03	Для експлуатації та догляду за смугами відведення
10.04	Для експлуатації та догляду за гідротехнічними, іншими водогосподарськими спорудами і каналами
10.05	Для догляду за береговими смугами водних шляхів
10.06	Для сінокосіння
10.07	Для рибогосподарських потреб
10.08	Для культурно-оздоровчих потреб, рекреаційних, спортивних і туристичних цілей
10.09	Для проведення науково-дослідних робіт
10.10	Для будівництва та експлуатації гідротехнічних, гідрометричних та лінійних споруд
10.11	Для будівництва та експлуатації санаторіїв та інших лікувально-оздоровчих закладів у межах прибережних захисних смуг морів, морських заток і лиманів
10.12	Для цілей підрозділів 10.01—10.11, 10.13—10.16 та для збереження та використання земель природно-заповідного фонду
10.13	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
10.14	Водні об’єкти загального користування
10.15	Земельні ділянки під пляжами
10.16	Земельні ділянки під громадськими сіножатями 
/900/	КАТЕГОРІЯ - ЗЕМЛІ ПРОМИЛСОВОСТІ, ТРАНСПОРТУ, ЗВ'ЯЗКУ, ЕНЕРГЕТИКИ, ОБОРОНИ ТА ІНШОГО ПРИЗНАЧЕННЯ
11	Земельні ділянки промисловості (земельні ділянки, надані для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд промислових, гірничодобувних, транспортних та інших підприємств, їх під’їзних шляхів, інженерних мереж, адміністративно-побутових будівель, інших споруд)
11.01	Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємствами, що пов’язані з користуванням надрами
11.02	Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості
11.03	Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд будівельних організацій та підприємств
11.04	Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд технічної інфраструктури (виробництва та розподілення газу, постачання пари та гарячої води, збирання, очищення та розподілення води)
11.05	Для цілей підрозділів 11.01—11.04, 11.06—11.08 та для збереження та використання земель природно-заповідного фонду
11.06	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
11.07	Земельні ділянки загального користування, які використовуються як зелені насадження спеціального призначення
11.08	Земельні ділянки загального користування, відведенні для цілей поводження з відходами
12	Земельні ділянки транспорту (земельні ділянки, надані підприємствам, установам та організаціям залізничного, автомобільного транспорту і дорожнього господарства, морського, річкового, авіаційного, трубопровідного транспорту та міського електротранспорту для виконання покладених на них завдань щодо експлуатації, ремонту і розвитку об'єктів транспорту)
12.01	Для розміщення та експлуатації будівель і споруд залізничного транспорту
12.02	Для розміщення та експлуатації будівель і споруд морського транспорту
12.03	Для розміщення та експлуатації будівель і споруд річкового транспорту
12.04	Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства
12.05	Для розміщення та експлуатації будівель і споруд авіаційного транспорту
12.06	Для розміщення та експлуатації об’єктів трубопровідного транспорту
12.07	Для розміщення та експлуатації будівель і споруд міського електротранспорту
12.08	Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій
12.09	Для розміщення та експлуатації будівель і споруд іншого наземного транспорту
12.10	Для цілей підрозділів 12.01—12.09, 12.11—12.13 та для збереження та використання земель природно-заповідного фонду
12.11	Для розміщення та експлуатації об’єктів дорожнього сервісу
12.12	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
12.13	Земельні ділянки загального користування, які використовуються як вулиці, майдани, проїзди, дороги, набережні
13	Земельні ділянки електронних комунікацій (земельні ділянки, надані під повітряні і кабельні телефонно-телеграфні лінії та супутникові засоби зв’язку, а також підприємствам, установам та організаціям для здійснення відповідної діяльності)
13.01	Для розміщення та експлуатації об’єктів і споруд електронних комунікацій
13.02	Для розміщення та експлуатації будівель та споруд об’єктів поштового зв'язку
13.03	Для розміщення та експлуатації інших технічних засобів
13.04	Для цілей підрозділів 13.01—13.03, 13.05—13.06 та для збереження і використання земель природно-заповідного фонду
13.05	Для розміщення та постійної діяльності Державної служби спеціального зв’язку та захисту інформації України
13.06	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
14	Земельні ділянки енергетики (земельні ділянки, надані в установленому порядку для розміщення, будівництва і експлуатації та обслуговування об’єктів енергогенеруючих підприємств, установ і організацій (атомні, теплові, гідро- та гідроакумулюючі електростанції, теплоелектроцентралі, котельні), об’єктів альтернативної енергетики (електростанції з використанням енергії вітру, сонця та інших джерел), об’єктів передачі електричної та теплової енергії (повітряні та кабельні лінії електропередачі, трансформаторні підстанції, розподільні пункти та пристрої, теплові мережі), виробничих об’єктів, необхідних для експлуатації об’єктів енергетики, в тому числі баз та пунктів)
14.01	Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об’єктів енергогенеруючих підприємств, установ і організацій
14.02	Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об’єктів передачі електричної та теплової енергії
14.03	Для цілей підрозділів 14.01—14.02, 14.04—14.06 та для збереження та використання земель природно-заповідного фонду
14.04	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
14.05	Земельні ділянки загального користування, які використовуються як зелені насадження спеціального призначення
14.06	Земельні ділянки загального користування, відведені для цілей поводження з відходами
15	Земельні ділянки оборони (земельні ділянки, призначені для забезпечення діяльності Збройних Сил, інших утворених відповідно до законів України військових формувань, Міноборони, розвідувальних органів, Державної прикордонної служби, Служби безпеки, МВС, Національної поліції, а також для розміщення військових частин, військових навчальних закладів, підприємств, установ та організацій, що перебувають у сфері управління зазначених органів та/або входять до структури Збройних Сил, інших утворених відповідно до законів України військових формувань)
15.01	Для забезпечення діяльності, а також розміщення військових частин, військових навчальних закладів, установ та організацій, що входять до структури Збройних Сил
15.02	Для забезпечення діяльності, а також розміщення органу управління, військових частин,  військових навчальних закладів, підприємств, установ та організацій, що входять до структури Національної гвардії
15.03	Для розміщення та забезпечення діяльності Державної прикордонної служби, а також для розміщення військових частин, військових навчальних закладів, підприємств, установ та організацій, що перебувають у сфері управління  Державної прикордонної служби
15.04	Для розміщення та забезпечення діяльності Служби безпеки, а також для розміщення військових частин, військових навчальних закладів, підприємств, установ та організацій, що перебувають у сфері управління Служби безпеки
15.05	Для забезпечення діяльності, а також розміщення органу управління, військових частин, підприємств, установ та організацій, що входять до структури Держспецтрансслужби
15.06	Для розміщення та забезпечення діяльності розвідувальних органів, Служби зовнішньої розвідки, а також для розміщення військових частин, військових навчальних закладів, підприємств, установ та організацій, що перебувають у сфері управління  зазначених органів
15.07	Для розміщення та забезпечення діяльності інших утворених відповідно до законів військових формувань
15.08	Для цілей підрозділів 15.01-15.07, 15.09-15.11 та для збереження та використання земель природно-заповідного фонду
15.09	Для розміщення та забезпечення діяльності МВС, у тому числі структурних підрозділів апарату МВС, територіальних органів, закладів, підприємств, установ, що перебувають у сфері управління МВС
15.10	Для розміщення та забезпечення діяльності Національної поліції, її територіальних органів, підприємств, установ та організацій, що належать до сфери управління Національної поліції
15.11	Для забезпечення діяльності та/або розміщення Міноборони, структурних підрозділів Міноборони, територіальних органів, військових частин, військових навчальних закладів, підприємств, установ та організацій, що перебувають у сфері управління Міноборони
