01	Охоронні зони
06.01.6	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
06.02	Закон України "Про правовий режим території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи"
06.02.1	Закон України "Про правовий режим території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи"
06.02.2	Закон України "Про правовий режим території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи"
06.02.3	Закон України "Про правовий режим території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи"
06.03	Закон України "Про зону надзвичайної екологічної ситуації"
06.04	Закон України «Про природно-заповідний фонд», Закон України «Про охорону культурної спадщини»
06.05	Повітряний кодекс України
06.05.1	Повітряний кодекс України
06.05.2	Повітряний кодекс України
06.05.3	Повітряний кодекс України
06.05.4	Повітряний кодекс України
06.05.5	Повітряний кодекс України
06.05.6	Повітряний кодекс України
06.06	Закон України «Про охорону культурної спадщини»
06.06.1	Закон України «Про охорону культурної спадщини»
06.06.2	Закон України «Про охорону культурної спадщини»
06.06.3	Закон України «Про охорону культурної спадщини»
06.06.4	Закон України «Про охорону культурної спадщини»
06.06.5	Закон України «Про охорону культурної спадщини»
06.06.6	Закон України «Про охорону культурної спадщини»
06.06.7	Закон України «Про охорону культурної спадщини»
06.06.8	Закон України «Про охорону культурної спадщини»
06.07	визначається проєктною документацією на будівництво та технічними умовами на експлуатацію об'єктів метрополітену
06.07.1	визначається проєктною документацією на будівництво та технічними умовами на експлуатацію об'єктів метрополітену
06.07.2	визначається проєктною документацією на будівництво та технічними умовами на експлуатацію об'єктів метрополітену
06.07.3	визначається проєктною документацією на будівництво та технічними умовами на експлуатацію об'єктів метрополітену
07	Земельні сервітути	
07.01	згідно договору чи рішення суду
07.02	згідно договору чи рішення суду
07.03	згідно договору чи рішення суду
07.04	згідно договору чи рішення суду
07.05	згідно договору чи рішення суду
07.06	згідно договору чи рішення суду
07.07	згідно договору чи рішення суду
07.08	згідно договору чи рішення суду
07.09	згідно договору чи рішення суду
07.10	згідно договору чи рішення суду
07.11	згідно договору чи рішення суду
07.12	згідно договору чи рішення суду
07.13	згідно договору чи рішення суду
07.14	згідно договору чи рішення суду
07.15	згідно договору чи рішення суду
07.16	згідно договору чи рішення суду
07.17	згідно договору чи рішення суду
07.18	згідно договору чи рішення суду
07.19	згідно договору чи рішення суду
08	згідно договору чи рішення суду
09	згідно договору чи рішення суду
10	Закон України "Про природно-заповідний фонд"
10.01	Закон України "Про природно-заповідний фонд"
10.02	Закон України "Про природно-заповідний фонд"
10.03	Закон України "Про природно-заповідний фонд"
10.04	Закон України "Про природно-заповідний фонд"
10.05	Закон України "Про природно-заповідний фонд"
10.06	Закон України "Про природно-заповідний фонд"
10.07	Закон України "Про природно-заповідний фонд"
10.08	Закон України "Про природно-заповідний фонд"
10.09	Закон України "Про природно-заповідний фонд"
10.10	Закон України "Про природно-заповідний фонд"
10.11	Закон України "Про природно-заповідний фонд"
10.12	Закон України "Про природно-заповідний фонд"
10.13	Закон України "Про природно-заповідний фонд"
10.14	Закон України "Про природно-заповідний фонд"
10.15	Закон України "Про природно-заповідний фонд"
10.16	Закон України "Про природно-заповідний фонд"
10.17	Закон України "Про природно-заповідний фонд"
10.18	Закон України "Про природно-заповідний фонд"
10.19	Закон України "Про природно-заповідний фонд"
10.20	Закон України "Про природно-заповідний фонд"
10.21	Закон України "Про природно-заповідний фонд"
10.22	Закон України "Про природно-заповідний фонд"
10.23	Закон України "Про природно-заповідний фонд"
10.24	Закон України "Про природно-заповідний фонд"
10.25	Закон України "Про природно-заповідний фонд"
10.26	Закон України "Про природно-заповідний фонд"
10.27	Закон України "Про природно-заповідний фонд"
10.28	Закон України "Про природно-заповідний фонд"
10.29	Закон України "Про природно-заповідний фонд"
10.30	Закон України "Про природно-заповідний фонд"
10.31	Закон України "Про природно-заповідний фонд"
10.32	Закон України "Про природно-заповідний фонд"
10.33	Закон України "Про природно-заповідний фонд"
10.34	Закон України "Про природно-заповідний фонд"
10.35	Закон України "Про природно-заповідний фонд"
10.36	Закон України "Про природно-заповідний фонд"
10.37	Закон України "Про природно-заповідний фонд"
10.38	Закон України "Про природно-заповідний фонд"
10.39	Закон України "Про природно-заповідний фонд"
10.40	Закон України "Про природно-заповідний фонд"
10.41	Закон України "Про природно-заповідний фонд"
11	Закон України "Про відчуження земельних ділянок, інших об'єктів нерухомого майна, що на них розміщені, які перебувають у приватній власності, для суспільних потреб чи з мотивів суспільної необхідності"
12	0
13	0
14	Постанова КМУ від 22.07.2020 р. № 650 "Про затвердження Правил утримання та збереження полезахисних лісових смуг, розташованих на землях сільськогосподарського призначення"
