Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Бахмутський	смт Зайцеве	\вул. Аносова\вул. Арсеньєва\вул. Бадаєва\вул. Базанова\вул. Вернадського\вул. Вологодського\вул. Героїчна\вул. Грозненська\вул. Журавського\вул. Заливна\вул. Кавказька\вул. Кольцова\вул. Коляденко\вул. Лисянського\вул. Мануільського\вул. Маресьєва\вул. Муравйова\вул. Полинова\вул. Попова\вул. Рибалка\вул. Рибалко\вул. Сонячна\вул. Станція Майорська\вул. Федорова\вул. Шумського\вул. Ювілейна\пров. Лєскова
Бахмутський	смт Красна Гора	\вул. Абрикосова\вул. Миру\вул. Молодіжна\вул. Озерна\вул. Первомайська\вул. Перемоги\вул. Пушкіна\пров. Урицького
Бахмутський	смт Луганське	\вул. Аеродромна\вул. Аптечна\вул. Верхня\вул. Гоголя\вул. Горького\вул. Західна\вул. Кар'єрна\вул. Красношапки\вул. Лікарня\вул. Матросова\вул. Миру\вул. Партизанська\вул. Першотравнева\вул. Північна\вул. Пушкіна\вул. Річна\вул. Садова\вул. Ситніка\вул. Скельова\вул. Степова\вул. Хліборобів\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. 1-го Травня\пров. Зелений
Бахмутський	смт Миронівський	\вул. 1-го Мая\вул. Будівельників\вул. Ватутіна\вул. Донецька\вул. Енергетиків\вул. Заводська\вул. Квартальна\вул. Космонавтів\вул. Матросова\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Олега Кошового\вул. Рєчна\вул. Садова\вул. Скельова\вул. Соборна\вул. Спортивна\вул. Степна\вул. Театральна\вул. Хмельницького\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. Водний\пров. Зелений\пров. Лісний\пров. Сєвєрний\пров. Солнєчний
Бахмутський	с-ще Виїмка	\вул. назва відсутня
Бахмутський	с-ще Зеленопілля	\вул. Миру\вул. Молодіжна\вул. Ювілейна
Бахмутський	с-ще Нагірне	\вул. Сосюри
Бахмутський	с-ще Новолуганське	\вул. 8 Березня\вул. Вокзальна\вул. Кодемська\вул. Космонавтів\вул. Мічуріна\вул. Набережна\вул. Некрасова\вул. Олімпійська\вул. Першотравнева\вул. Пушкіна\вул. Сергієнко\вул. Сонячна\вул. Спортивна\вул. Східна\вул. Шкільна\вул. Щастя\кв-л Радужний\м-р Дружби\м-р Молодіжний\пров. Мирний\пров. Пушкіна
Бахмутський	с-ще Опитне	\вул. Київська\вул. Лугова\вул. Набережна\вул. Незалежності\вул. Нова\вул. Садова\вул. Українська\вул. Шкільна\пров. Лазо
Бахмутський	с-ще Підгородне	\вул. Весела\вул. Мічуріна\вул. Ніжна\вул. Пісчана\вул. Садова\вул. Сільська\вул. Центральна\пров. 1-й Пісчаний\пров. 2-й Пісчаний\пров. 3-й Пісчаний\пров. Садовий
Бахмутський	с-ще Роти	\вул. Залізнична\вул. Польова
Бахмутський	с-ще Спірне	\вул. Польова\вул. Центральна
Бахмутський	с-ще Травневе	\вул. Зелена\вул. Пролетарська\вул. Тиха
Бахмутський	с-ще Хромове	\вул. Булавіна\вул. Весела\вул. Вільямса\вул. Докучаєва\вул. Донецька\вул. Лугова\вул. Мічуріна\вул. Молодіжна\вул. Недогибченко\вул. Нова\вул. Підгірна\вул. Пісчана\вул. Совхозна\вул. Сумська\вул. Трудова\вул. Трудові Резерви\вул. Чайковського
Бахмутський	с-ще Ягідне	\вул. Зелена\вул. Молодіжна\вул. Садова
Великоновосілківський	с. Андріївка	\вул. Гагаріна\вул. Гоголя\вул. Зуєнка\вул. Козацька\вул. Кошевого\вул. Ломоносова\вул. Матросова\вул. Маяковського\вул. Миру\вул. Некрасова\вул. Пушкіна\вул. Толбухіна\вул. Толстого\вул. Франка\вул. Чкалова\пров. Дружби\пров. Зарічний\пров. Садовий\пров. Шкільний
Великоновосілківський	с. Багатир	\вул. Аптечний\вул. Гагаріна\вул. Західна\вул. Комарова\вул. Лікарняний\вул. Маяковського\вул. Миру\вул. Молодіжна\вул. Садова\вул. Сонячна\вул. Східна\вул. Шкільна\пров. Аптечний\пров. Гаражний\пров. Південний
Великоновосілківський	с. Вільне Поле	\вул. Дзержинського\вул. Кірова\пров. Зелений
